query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
上海到南昌,['47198'],[],description,1,0,[],,['5851'],[0.5625715255737305],['description']
上海到南昌,['47198'],[],description,3,0,[],,"['5851', '60872', '60868']","[0.5625715255737305, 0.5558207035064697, 0.5463604927062988]","['description', 'description', 'description']"
上海离重庆多远,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.46145549416542053],['description']
上海离重庆多远,['47198'],[],description,3,1,['47198'],1.0,"['47198', '50192', '46679']","[0.46145549416542053, 0.42513734102249146, 0.41698622703552246]","['description', 'description', 'description']"
上海科技馆到东昌路渡口怎么走,['47198'],[],description,1,0,[],,['47266'],[0.4140336811542511],['description']
上海科技馆到东昌路渡口怎么走,['47198'],[],description,3,1,['47198'],2.0,"['47266', '47198', '47190']","[0.4140336811542511, 0.4133490324020386, 0.4129740595817566]","['description', 'description', 'description']"
东盛花园到西海岸双珠公园坐几路车,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.387347012758255],['description']
东盛花园到西海岸双珠公园坐几路车,['47198'],[],description,3,1,['47198'],1.0,"['47198', '5012', '47266']","[0.387347012758255, 0.3727511465549469, 0.37200844287872314]","['description', 'description', 'description']"
临平路到宝杨路,['47198'],[],description,1,0,[],,['47266'],[0.5077099800109863],['description']
临平路到宝杨路,['47198'],[],description,3,1,['47198'],3.0,"['47266', '47190', '47198']","[0.5077099800109863, 0.47892653942108154, 0.4593546390533447]","['description', 'description', 'description']"
丹竹头地铁站到光明站怎么坐地铁,['47198'],[],description,1,0,[],,['47266'],[0.506170392036438],['description']
丹竹头地铁站到光明站怎么坐地铁,['47198'],[],description,3,1,['47198'],3.0,"['47266', '47190', '47198']","[0.506170392036438, 0.44108662009239197, 0.43690311908721924]","['description', 'description', 'description']"
丽江到香格里拉有多远,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.4117405414581299],['description']
丽江到香格里拉有多远,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47190', '5851']","[0.4117405414581299, 0.4038248360157013, 0.39087843894958496]","['description', 'description', 'description']"
乌鲁木齐到伊犁有多远多少公里,['47198'],[],description,1,0,[],,['47190'],[0.39956289529800415],['description']
乌鲁木齐到伊犁有多远多少公里,['47198'],[],description,3,1,['47198'],3.0,"['47190', '5851', '47198']","[0.39956289529800415, 0.3889661431312561, 0.3779345154762268]","['description', 'description', 'description']"
乌鲁木齐到喀什有多少公里,['47198'],[],description,1,0,[],,['47190'],[0.4047768712043762],['description']
乌鲁木齐到喀什有多少公里,['47198'],[],description,3,1,['47198'],2.0,"['47190', '47198', '5851']","[0.4047768712043762, 0.3838358521461487, 0.3658900856971741]","['description', 'description', 'description']"
云南到昆明多少公里,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.430631548166275],['description']
云南到昆明多少公里,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47190', '46679']","[0.430631548166275, 0.3902614712715149, 0.37869009375572205]","['description', 'description', 'description']"
亳州到商丘有多远,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.46217578649520874],['description']
亳州到商丘有多远,['47198'],[],description,3,1,['47198'],1.0,"['47198', '60338', '60874']","[0.46217578649520874, 0.41631531715393066, 0.39387446641921997]","['description', 'description', 'description']"
从春熙路到成都东站坐地铁怎么走,['47198'],[],description,1,0,[],,['47266'],[0.5105978846549988],['description']
从春熙路到成都东站坐地铁怎么走,['47198'],[],description,3,0,[],,"['47266', '5851', '5012']","[0.5105978846549988, 0.4713716506958008, 0.47004371881484985]","['description', 'description', 'description']"
从水阳到敬亭山坐几路车,['47198'],[],description,1,0,[],,['60874'],[0.4018096327781677],['description']
从水阳到敬亭山坐几路车,['47198'],[],description,3,0,[],,"['60874', '47266', '5671']","[0.4018096327781677, 0.3931249976158142, 0.3852503299713135]","['description', 'description', 'description']"
从海安到唐洋镇坐公交,['47198'],[],description,1,0,[],,['60874'],[0.38767576217651367],['description']
从海安到唐洋镇坐公交,['47198'],[],description,3,1,['47198'],3.0,"['60874', '47266', '47198']","[0.38767576217651367, 0.35220757126808167, 0.34687870740890503]","['description', 'description', 'description']"
佛山到苏州多少公里,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.4542979896068573],['description']
佛山到苏州多少公里,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47242', '47190']","[0.4542979896068573, 0.41590428352355957, 0.40899649262428284]","['description', 'description', 'description']"
保山到腾冲有多远,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.4252241849899292],['description']
保山到腾冲有多远,['47198'],[],description,3,1,['47198'],1.0,"['47198', '60874', '60338']","[0.4252241849899292, 0.3984954357147217, 0.3814964294433594]","['description', 'description', 'description']"
信阳航空职业学院到广水金鑫名城有多远,['47198'],[],description,1,0,[],,['39537'],[0.4542043209075928],['description']
信阳航空职业学院到广水金鑫名城有多远,['47198'],[],description,3,1,['47198'],2.0,"['39537', '47198', '51129']","[0.4542043209075928, 0.4170251488685608, 0.3788808584213257]","['description', 'description', 'description']"
兰州离西安有多远多少公里,['47198'],[],description,1,0,[],,['50192'],[0.479234516620636],['description']
兰州离西安有多远多少公里,['47198'],[],description,3,1,['47198'],2.0,"['50192', '47198', '47190']","[0.479234516620636, 0.45455417037010193, 0.43441101908683777]","['description', 'description', 'description']"
到内蒙古多少公里,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.4218476414680481],['description']
到内蒙古多少公里,['47198'],[],description,3,1,['47198'],1.0,"['47198', '51323', '60338']","[0.4218476414680481, 0.39725780487060547, 0.38430023193359375]","['description', 'description', 'description']"
到外滩怎么走,['47198'],[],description,1,0,[],,['47190'],[0.5269906520843506],['description']
到外滩怎么走,['47198'],[],description,3,1,['47198'],3.0,"['47190', '47242', '47198']","[0.5269906520843506, 0.4911467432975769, 0.4874879717826843]","['description', 'description', 'description']"
到山姆,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.5482286810874939],['description']
到山姆,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47272', '5012']","[0.5482286810874939, 0.5193583369255066, 0.5107707381248474]","['description', 'description', 'description']"
到滇池卫城坐几路公交车,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.44398027658462524],['description']
到滇池卫城坐几路公交车,['47198'],[],description,3,1,['47198'],1.0,"['47198', '60874', '47190']","[0.44398027658462524, 0.4066866934299469, 0.3961494565010071]","['description', 'description', 'description']"
到郑州多少公里,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.4870339632034302],['description']
到郑州多少公里,['47198'],[],description,3,1,['47198'],1.0,"['47198', '5851', '47190']","[0.4870339632034302, 0.4756409227848053, 0.4502115249633789]","['description', 'description', 'description']"
北京到呼和浩特多少公里,['47198'],[],description,1,0,[],,['60874'],[0.4414573311805725],['description']
北京到呼和浩特多少公里,['47198'],[],description,3,0,[],,"['60874', '50192', '60868']","[0.4414573311805725, 0.39072954654693604, 0.3861202299594879]","['description', 'description', 'description']"
北京站到北京朝阳站有多远,['47198'],[],description,1,0,[],,['60874'],[0.4843129515647888],['description']
北京站到北京朝阳站有多远,['47198'],[],description,3,0,[],,"['60874', '47266', '60872']","[0.4843129515647888, 0.4754263460636139, 0.4516942799091339]","['description', 'description', 'description']"
北京站坐地铁到北京西站怎么走,['47198'],[],description,1,0,[],,['60874'],[0.4991524815559387],['description']
北京站坐地铁到北京西站怎么走,['47198'],[],description,3,0,[],,"['60874', '47266', '5012']","[0.4991524815559387, 0.49412834644317627, 0.45507144927978516]","['description', 'description', 'description']"
南京东路地铁站到上海南站坐几号线,['47198'],[],description,1,0,[],,['47266'],[0.5113321542739868],['description']
南京东路地铁站到上海南站坐几号线,['47198'],[],description,3,0,[],,"['47266', '5851', '60872']","[0.5113321542739868, 0.47517064213752747, 0.44707322120666504]","['description', 'description', 'description']"
南京南站到鼓楼医院坐地铁怎么走,['47198'],[],description,1,0,[],,['47266'],[0.44155409932136536],['description']
南京南站到鼓楼医院坐地铁怎么走,['47198'],[],description,3,1,['47198'],3.0,"['47266', '5851', '47198']","[0.44155409932136536, 0.40926823019981384, 0.3930366337299347]","['description', 'description', 'description']"
南通西到南通站多少公里,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.43489718437194824],['description']
南通西到南通站多少公里,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47266', '5851']","[0.43489718437194824, 0.4069080352783203, 0.40058633685112]","['description', 'description', 'description']"
去中山北路196号院,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.5359045267105103],['description']
去中山北路196号院,['47198'],[],description,3,1,['47198'],1.0,"['47198', '5012', '39537']","[0.5359045267105103, 0.515052080154419, 0.5116125345230103]","['description', 'description', 'description']"
去中心医院坐几路公交车能到,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.5388071537017822],['description']
去中心医院坐几路公交车能到,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47266', '47190']","[0.5388071537017822, 0.5374969840049744, 0.532690703868866]","['description', 'description', 'description']"
去机场多远,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.5547377467155457],['description']
去机场多远,['47198'],[],description,3,1,['47198'],1.0,"['47198', '5671', '47190']","[0.5547377467155457, 0.5510119795799255, 0.5493394136428833]","['description', 'description', 'description']"
去汤头汤山洗浴公交车,['47198'],[],description,1,0,[],,['60874'],[0.38949161767959595],['description']
去汤头汤山洗浴公交车,['47198'],[],description,3,1,['47198'],3.0,"['60874', '47266', '47198']","[0.38949161767959595, 0.3235939145088196, 0.30875658988952637]","['description', 'description', 'description']"
去清河火车站怎么走,['47198'],[],description,1,0,[],,['47266'],[0.5049619674682617],['description']
去清河火车站怎么走,['47198'],[],description,3,1,['47198'],3.0,"['47266', '47190', '47198']","[0.5049619674682617, 0.4823613166809082, 0.48012036085128784]","['description', 'description', 'description']"
去火车站坐几路公交车,['47198'],[],description,1,0,[],,['47266'],[0.5779786109924316],['description']
去火车站坐几路公交车,['47198'],[],description,3,0,[],,"['47266', '47190', '5851']","[0.5779786109924316, 0.5359811782836914, 0.5316505432128906]","['description', 'description', 'description']"
去阿尔山怎么走方便,['47198'],[],description,1,0,[],,['47190'],[0.49294912815093994],['description']
去阿尔山怎么走方便,['47198'],[],description,3,1,['47198'],3.0,"['47190', '5671', '47198']","[0.49294912815093994, 0.45929616689682007, 0.45095282793045044]","['description', 'description', 'description']"
吉祥地铁站至深圳北站怎么走,['47198'],[],description,1,0,[],,['47266'],[0.5770725011825562],['description']
吉祥地铁站至深圳北站怎么走,['47198'],[],description,3,0,[],,"['47266', '5851', '47190']","[0.5770725011825562, 0.5273343324661255, 0.5010712742805481]","['description', 'description', 'description']"
呈展到玉祥明居怎么走,['47198'],[],description,1,1,['47198'],1.0,['47198'],[0.5433740615844727],['description']
呈展到玉祥明居怎么走,['47198'],[],description,3,1,['47198'],1.0,"['47198', '47242', '5671']","[0.5433740615844727, 0.5063720941543579, 0.5034530758857727]","['description', 'description', 'description']"
