query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
7字的古诗,['51379'],[],description,1,1,['51379'],1.0,['51379'],[0.599869430065155],['description']
7字的古诗,['51379'],[],description,3,1,['51379'],1.0,"['51379', '51378', '51376']","[0.599869430065155, 0.5857957005500793, 0.5486236810684204]","['description', 'description', 'description']"
《虞美人》原文及翻译,['51379'],[],description,1,0,[],,['51376'],[0.575334906578064],['description']
《虞美人》原文及翻译,['51379'],[],description,3,0,[],,"['51376', '51377', '52524']","[0.575334906578064, 0.48214060068130493, 0.4799317419528961]","['description', 'description', 'description']"
一年级古洔,['51379'],[],description,1,0,[],,['51381'],[0.4562716484069824],['description']
一年级古洔,['51379'],[],description,3,0,[],,"['51381', '51382', '52524']","[0.4562716484069824, 0.43579208850860596, 0.4206640422344208]","['description', 'description', 'description']"
一年级的古诗,['51379'],[],description,1,0,[],,['51378'],[0.6176356673240662],['description']
一年级的古诗,['51379'],[],description,3,1,['51379'],3.0,"['51378', '51376', '51379']","[0.6176356673240662, 0.5837087631225586, 0.5426234006881714]","['description', 'description', 'description']"
七年级上册的所有古诗词,['51379'],[],description,1,0,[],,['51378'],[0.5574398636817932],['description']
七年级上册的所有古诗词,['51379'],[],description,3,1,['51379'],3.0,"['51378', '51376', '51379']","[0.5574398636817932, 0.5559887886047363, 0.49332529306411743]","['description', 'description', 'description']"
七年级上册语文古诗,['51379'],[],description,1,0,[],,['51376'],[0.5204640030860901],['description']
七年级上册语文古诗,['51379'],[],description,3,0,[],,"['51376', '51378', '52524']","[0.5204640030860901, 0.5087894201278687, 0.46131643652915955]","['description', 'description', 'description']"
七年级下册语文古诗词全部,['51379'],[],description,1,0,[],,['51376'],[0.5355030298233032],['description']
七年级下册语文古诗词全部,['51379'],[],description,3,1,['51379'],3.0,"['51376', '51378', '51379']","[0.5355030298233032, 0.5264493823051453, 0.45744788646698]","['description', 'description', 'description']"
七年级古诗文,['51379'],[],description,1,0,[],,['52524'],[0.5986807346343994],['description']
七年级古诗文,['51379'],[],description,3,0,[],,"['52524', '51376', '51378']","[0.5986807346343994, 0.580650269985199, 0.5755891799926758]","['description', 'description', 'description']"
七年级的古诗,['51379'],[],description,1,0,[],,['51378'],[0.6288610696792603],['description']
七年级的古诗,['51379'],[],description,3,0,[],,"['51378', '51376', '51377']","[0.6288610696792603, 0.6007940173149109, 0.5612179040908813]","['description', 'description', 'description']"
三年级上册的古诗,['51379'],[],description,1,0,[],,['51378'],[0.5619060397148132],['description']
三年级上册的古诗,['51379'],[],description,3,0,[],,"['51378', '51376', '51377']","[0.5619060397148132, 0.5421925783157349, 0.47714537382125854]","['description', 'description', 'description']"
两首关于庐山的古诗,['51379'],[],description,1,0,[],,['51378'],[0.5526282787322998],['description']
两首关于庐山的古诗,['51379'],[],description,3,1,['51379'],3.0,"['51378', '51376', '51379']","[0.5526282787322998, 0.5014525651931763, 0.48610004782676697]","['description', 'description', 'description']"
主席诗词,['51379'],[],description,1,0,[],,['51378'],[0.5870609283447266],['description']
