query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
万里学院和宁波财经学院,['51129'],[],description,1,0,[],,['39537'],[0.6249127984046936],['description']
万里学院和宁波财经学院,['51129'],[],description,3,0,[],,"['39537', '4551', '52364']","[0.6249127984046936, 0.5670374035835266, 0.5631008148193359]","['description', 'description', 'description']"
三峡大学和长江大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.54547119140625],['description']
三峡大学和长江大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.54547119140625, 0.5278488397598267, 0.4683735966682434]","['description', 'description', 'description']"
上海交通大学和复旦大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.6136689186096191],['description']
上海交通大学和复旦大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.6136689186096191, 0.5345414876937866, 0.5041311383247375]","['description', 'description', 'description']"
上海大学和上海理工大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5759196281433105],['description']
上海大学和上海理工大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.5759196281433105, 0.5375164747238159, 0.50371915102005]","['description', 'description', 'description']"
上海大学和苏州大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5726804733276367],['description']
上海大学和苏州大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.5726804733276367, 0.5469695329666138, 0.4886961877346039]","['description', 'description', 'description']"
上海对外经贸大学和首都经贸大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5478236675262451],['description']
上海对外经贸大学和首都经贸大学哪个好,['51129'],[],description,3,1,['51129'],3.0,"['52364', '39537', '51129']","[0.5478236675262451, 0.5036464929580688, 0.4774067997932434]","['description', 'description', 'description']"
上海师范大学和华东师范大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5640178322792053],['description']
上海师范大学和华东师范大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.5640178322792053, 0.5226744413375854, 0.4804103374481201]","['description', 'description', 'description']"
上海海事大学与上海海洋大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5604170560836792],['description']
上海海事大学与上海海洋大学哪个好,['51129'],[],description,3,0,[],,"['52364', '39537', '4551']","[0.5604170560836792, 0.5419102907180786, 0.50050950050354]","['description', 'description', 'description']"
东北石油大学和中国石油大学哪个好,['51129'],[],description,1,0,[],,['52364'],[0.5383484959602356],['description']
