query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
comex黄金期货,['51590'],[],description,1,0,[],,['51088'],[0.72767174243927],['description']
comex黄金期货,['51590'],[],description,3,1,['51590'],2.0,"['51088', '51590', '51255']","[0.72767174243927, 0.6262001991271973, 0.625503659248352]","['description', 'description', 'description']"
fg609,['51590'],[],description,1,0,[],,['60977'],[0.5158453583717346],['description']
fg609,['51590'],[],description,3,0,[],,"['60977', '51044', '23']","[0.5158453583717346, 0.4953692555427551, 0.4888116717338562]","['description', 'description', 'description']"
lme铜期货最新行情价格,['51590'],[],description,1,0,[],,['51255'],[0.6945148706436157],['description']
lme铜期货最新行情价格,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.6945148706436157, 0.6880056858062744, 0.5481694936752319]","['description', 'description', 'description']"
lme铝期货实时行情,['51590'],[],description,1,0,[],,['51255'],[0.6758708953857422],['description']
lme铝期货实时行情,['51590'],[],description,3,0,[],,"['51255', '51088', '5428']","[0.6758708953857422, 0.6513093709945679, 0.536311149597168]","['description', 'description', 'description']"
lme镍期货实时价格,['51590'],[],description,1,0,[],,['51255'],[0.7371423244476318],['description']
lme镍期货实时价格,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.7371423244476318, 0.7339311242103577, 0.5938436985015869]","['description', 'description', 'description']"
nymex原油期货,['51590'],[],description,1,0,[],,['51088'],[0.6360797882080078],['description']
nymex原油期货,['51590'],[],description,3,0,[],,"['51088', '51255', '5351']","[0.6360797882080078, 0.6302585601806641, 0.5215610265731812]","['description', 'description', 'description']"
pp2609,['51590'],[],description,1,0,[],,['60977'],[0.5299301147460938],['description']
pp2609,['51590'],[],description,3,0,[],,"['60977', '51388', '60293']","[0.5299301147460938, 0.49979299306869507, 0.49231889843940735]","['description', 'description', 'description']"
pta期货价格实时更新,['51590'],[],description,1,0,[],,['51255'],[0.7344791889190674],['description']
pta期货价格实时更新,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.7344791889190674, 0.7123899459838867, 0.6115815043449402]","['description', 'description', 'description']"
pvc期货价格行情走势,['51590'],[],description,1,0,[],,['51255'],[0.6371588706970215],['description']
pvc期货价格行情走势,['51590'],[],description,3,0,[],,"['51255', '51088', '36607']","[0.6371588706970215, 0.5888056755065918, 0.5039569139480591]","['description', 'description', 'description']"
上证大盘走势,['51590'],[],description,1,0,[],,['50161'],[0.6361993551254272],['description']
上证大盘走势,['51590'],[],description,3,0,[],,"['50161', '50926', '50709']","[0.6361993551254272, 0.6152075529098511, 0.6142363548278809]","['description', 'description', 'description']"
乙二醇2610行情,['51590'],[],description,1,0,[],,['51255'],[0.448975145816803],['description']
乙二醇2610行情,['51590'],[],description,3,0,[],,"['51255', '50760', '5544']","[0.448975145816803, 0.4465867578983307, 0.4415454864501953]","['description', 'description', 'description']"
乙二醇期货实时行情,['51590'],[],description,1,0,[],,['51255'],[0.7101461291313171],['description']
乙二醇期货实时行情,['51590'],[],description,3,0,[],,"['51255', '51088', '5432']","[0.7101461291313171, 0.6689755916595459, 0.5177751779556274]","['description', 'description', 'description']"
今日塑料价格,['51590'],[],description,1,0,[],,['51255'],[0.556571364402771],['description']
今日塑料价格,['51590'],[],description,3,1,['51590'],2.0,"['51255', '51590', '51088']","[0.556571364402771, 0.5528342723846436, 0.527246356010437]","['description', 'description', 'description']"
今日大盘金价,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.7396106719970703],['description']
今日大盘金价,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.7396106719970703, 0.6699079275131226, 0.5491709113121033]","['description', 'description', 'description']"
今日棉花期货最新价格,['51590'],[],description,1,0,[],,['51255'],[0.728271484375],['description']
今日棉花期货最新价格,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.728271484375, 0.6774146556854248, 0.5299378633499146]","['description', 'description', 'description']"
今日的金价走势图,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.7520378828048706],['description']
今日的金价走势图,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '36607']","[0.7520378828048706, 0.6765020489692688, 0.5648670196533203]","['description', 'description', 'description']"
今日金价最新价,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.8271162509918213],['description']
今日金价最新价,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.8271162509918213, 0.7577934265136719, 0.5992962718009949]","['description', 'description', 'description']"
今日铜价最新,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.6518083214759827],['description']
今日铜价最新,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.6518083214759827, 0.641899824142456, 0.6008045673370361]","['description', 'description', 'description']"
今日铝价格最新行情,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.5949712991714478],['description']
今日铝价格最新行情,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.5949712991714478, 0.5668518543243408, 0.5428488254547119]","['description', 'description', 'description']"
今日银价大盘价,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.6426408290863037],['description']
今日银价大盘价,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.6426408290863037, 0.5910675525665283, 0.5303233861923218]","['description', 'description', 'description']"
今日银的价格,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.7462358474731445],['description']
今日银的价格,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.7462358474731445, 0.7059032917022705, 0.6162710189819336]","['description', 'description', 'description']"
今日锡价最新价格,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.6192968487739563],['description']
今日锡价最新价格,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.6192968487739563, 0.6033501029014587, 0.5706204175949097]","['description', 'description', 'description']"
今日锡价格最新走势图,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.539426863193512],['description']
今日锡价格最新走势图,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.539426863193512, 0.5204599499702454, 0.513232946395874]","['description', 'description', 'description']"
今日黄金大盘价,['51590'],[],description,1,1,['51590'],1.0,['51590'],[0.7522680163383484],['description']
今日黄金大盘价,['51590'],[],description,3,1,['51590'],1.0,"['51590', '51088', '51255']","[0.7522680163383484, 0.6809855699539185, 0.5394998788833618]","['description', 'description', 'description']"
伦敦铜期货最新行情,['51590'],[],description,1,0,[],,['51088'],[0.6781766414642334],['description']
伦敦铜期货最新行情,['51590'],[],description,3,1,['51590'],3.0,"['51088', '51255', '51590']","[0.6781766414642334, 0.6768225431442261, 0.5574615597724915]","['description', 'description', 'description']"
原油主连,['51590'],[],description,1,0,[],,['51255'],[0.5961385369300842],['description']
原油主连,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.5961385369300842, 0.592442512512207, 0.5159014463424683]","['description', 'description', 'description']"
国内原油期货实时行情,['51590'],[],description,1,0,[],,['51255'],[0.7096239924430847],['description']
国内原油期货实时行情,['51590'],[],description,3,0,[],,"['51255', '51088', '50161']","[0.7096239924430847, 0.6566590070724487, 0.5490566492080688]","['description', 'description', 'description']"
国际原油实时行情,['51590'],[],description,1,0,[],,['51255'],[0.6449845433235168],['description']
国际原油实时行情,['51590'],[],description,3,1,['51590'],3.0,"['51255', '51088', '51590']","[0.6449845433235168, 0.6282200813293457, 0.5921909809112549]","['description', 'description', 'description']"
国际白银走势,['51590'],[],description,1,0,[],,['51088'],[0.642408549785614],['description']
国际白银走势,['51590'],[],description,3,1,['51590'],2.0,"['51088', '51590', '51255']","[0.642408549785614, 0.6281036138534546, 0.578346848487854]","['description', 'description', 'description']"
