query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
上岛食品有限公司陈家昇简介资料,['62497'],[],description,1,0,[],,['51457'],[0.3921789824962616],['description']
上岛食品有限公司陈家昇简介资料,['62497'],[],description,3,0,[],,"['51457', '47272', '5881']","[0.3921789824962616, 0.3673260509967804, 0.3457089960575104]","['description', 'description', 'description']"
上海星奇半导体董事长简介,['62497'],[],description,1,0,[],,['51457'],[0.47205793857574463],['description']
上海星奇半导体董事长简介,['62497'],[],description,3,0,[],,"['51457', '60265', '28128']","[0.47205793857574463, 0.42954447865486145, 0.41231292486190796]","['description', 'description', 'description']"
上海松禹集团李学民简介,['62497'],[],description,1,0,[],,['51457'],[0.4058009386062622],['description']
上海松禹集团李学民简介,['62497'],[],description,3,0,[],,"['51457', '39537', '5273']","[0.4058009386062622, 0.37590155005455017, 0.3622767925262451]","['description', 'description', 'description']"
上海欣兆阳科技有限公司李征,['62497'],[],description,1,0,[],,['51457'],[0.4621839225292206],['description']
上海欣兆阳科技有限公司李征,['62497'],[],description,3,0,[],,"['51457', '5881', '47198']","[0.4621839225292206, 0.4226948618888855, 0.419124573469162]","['description', 'description', 'description']"
上膳源董事长的电话,['62497'],[],description,1,0,[],,['5012'],[0.45714128017425537],['description']
上膳源董事长的电话,['62497'],[],description,3,0,[],,"['5012', '47198', '47272']","[0.45714128017425537, 0.4194146990776062, 0.41781944036483765]","['description', 'description', 'description']"
中信证券华南公司董事长,['62497'],[],description,1,0,[],,['5432'],[0.4351385533809662],['description']
中信证券华南公司董事长,['62497'],[],description,3,0,[],,"['5432', '51457', '60265']","[0.4351385533809662, 0.4334487318992615, 0.3979877829551697]","['description', 'description', 'description']"
中国华冶周志军,['62497'],[],description,1,0,[],,['51457'],[0.37714385986328125],['description']
中国华冶周志军,['62497'],[],description,3,0,[],,"['51457', '51323', '39537']","[0.37714385986328125, 0.3723950982093811, 0.35684844851493835]","['description', 'description', 'description']"
中建电力工程(深圳)有限公司刘天军简历,['62497'],[],description,1,0,[],,['51457'],[0.4767046570777893],['description']
中建电力工程(深圳)有限公司刘天军简历,['62497'],[],description,3,0,[],,"['51457', '60293', '267']","[0.4767046570777893, 0.43805360794067383, 0.41266247630119324]","['description', 'description', 'description']"
中核华辰张国华最新任职,['62497'],[],description,1,0,[],,['5550'],[0.3837648332118988],['description']
中核华辰张国华最新任职,['62497'],[],description,3,0,[],,"['5550', '51457', '60293']","[0.3837648332118988, 0.37844181060791016, 0.365617960691452]","['description', 'description', 'description']"
中谊慧诚陈涛怎么样了,['62497'],[],description,1,0,[],,['51474'],[0.4954257905483246],['description']
中谊慧诚陈涛怎么样了,['62497'],[],description,3,0,[],,"['51474', '51457', '47198']","[0.4954257905483246, 0.49418097734451294, 0.4552468955516815]","['description', 'description', 'description']"
"义乌市博娅思贸易有限公司,董杰简历",['62497'],[],description,1,0,[],,['5881'],[0.45447295904159546],['description']
"义乌市博娅思贸易有限公司,董杰简历",['62497'],[],description,3,0,[],,"['5881', '5544', '5882']","[0.45447295904159546, 0.4422328770160675, 0.4312717318534851]","['description', 'description', 'description']"
九联董事长电话是多少,['62497'],[],description,1,0,[],,['5012'],[0.5688819885253906],['description']
