query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
《出塞》拼音版,['52336'],[],description,1,0,[],,['51376'],[0.5394598841667175],['description']
《出塞》拼音版,['52336'],[],description,3,0,[],,"['51376', '51377', '51378']","[0.5394598841667175, 0.527725100517273, 0.5082453489303589]","['description', 'description', 'description']"
个头的拼音,['52336'],[],description,1,0,[],,['51388'],[0.6169683933258057],['description']
个头的拼音,['52336'],[],description,3,0,[],,"['51388', '51381', '51382']","[0.6169683933258057, 0.6110037565231323, 0.5889548659324646]","['description', 'description', 'description']"
乐于助人的近义词,['52336'],[],description,1,0,[],,['51386'],[0.5321437120437622],['description']
乐于助人的近义词,['52336'],[],description,3,0,[],,"['51386', '51388', '51387']","[0.5321437120437622, 0.5007494688034058, 0.4982280135154724]","['description', 'description', 'description']"
京东拼音怎么拼写,['52336'],[],description,1,0,[],,['51388'],[0.6350613832473755],['description']
京东拼音怎么拼写,['52336'],[],description,3,0,[],,"['51388', '51381', '51382']","[0.6350613832473755, 0.6046795845031738, 0.5997196435928345]","['description', 'description', 'description']"
仔细的反义词是什么,['52336'],[],description,1,0,[],,['51388'],[0.5850058794021606],['description']
仔细的反义词是什么,['52336'],[],description,3,1,['52336'],3.0,"['51388', '51386', '52336']","[0.5850058794021606, 0.5728238821029663, 0.5456966161727905]","['description', 'description', 'description']"
伦巴的拼音,['52336'],[],description,1,0,[],,['51388'],[0.5396368503570557],['description']
伦巴的拼音,['52336'],[],description,3,0,[],,"['51388', '51381', '51377']","[0.5396368503570557, 0.5199886560440063, 0.5081491470336914]","['description', 'description', 'description']"
何必的近义词,['52336'],[],description,1,0,[],,['51388'],[0.5148206353187561],['description']
何必的近义词,['52336'],[],description,3,1,['52336'],3.0,"['51388', '51386', '52336']","[0.5148206353187561, 0.5104581713676453, 0.4859315752983093]","['description', 'description', 'description']"
作茧自缚读音,['52336'],[],description,1,1,['52336'],1.0,['52336'],[0.46233537793159485],['description']
作茧自缚读音,['52336'],[],description,3,1,['52336'],1.0,"['52336', '51388', '52523']","[0.46233537793159485, 0.45946842432022095, 0.4491550922393799]","['description', 'description', 'description']"
便宜拼音,['52336'],[],description,1,0,[],,['51388'],[0.5768723487854004],['description']
便宜拼音,['52336'],[],description,3,0,[],,"['51388', '60338', '47198']","[0.5768723487854004, 0.5699833631515503, 0.5363529920578003]","['description', 'description', 'description']"
信赖的近义词,['52336'],[],description,1,0,[],,['51386'],[0.5224114656448364],['description']
信赖的近义词,['52336'],[],description,3,1,['52336'],3.0,"['51386', '51388', '52336']","[0.5224114656448364, 0.5122412443161011, 0.4885715842247009]","['description', 'description', 'description']"
停当怎么读,['52336'],[],description,1,0,[],,['51388'],[0.508804202079773],['description']
停当怎么读,['52336'],[],description,3,0,[],,"['51388', '51382', '51377']","[0.508804202079773, 0.4974648356437683, 0.48491406440734863]","['description', 'description', 'description']"
先人的拼音,['52336'],[],description,1,0,[],,['51388'],[0.5702463388442993],['description']
先人的拼音,['52336'],[],description,3,0,[],,"['51388', '51381', '51377']","[0.5702463388442993, 0.5632590651512146, 0.5459131002426147]","['description', 'description', 'description']"
