query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
*st美丽最新消息今天,['5802'],[],description,1,0,[],,['5432'],[0.5723464488983154],['description']
*st美丽最新消息今天,['5802'],[],description,3,0,[],,"['5432', '50161', '50926']","[0.5723464488983154, 0.5578929781913757, 0.5538000464439392]","['description', 'description', 'description']"
000980,['5802'],[],description,1,0,[],,['51323'],[0.49812233448028564],['description']
000980,['5802'],[],description,3,0,[],,"['51323', '51044', '5671']","[0.49812233448028564, 0.49465906620025635, 0.4902886748313904]","['description', 'description', 'description']"
002029,['5802'],[],description,1,0,[],,['51323'],[0.5033369064331055],['description']
002029,['5802'],[],description,3,0,[],,"['51323', '5601', '60977']","[0.5033369064331055, 0.47876882553100586, 0.47803062200546265]","['description', 'description', 'description']"
002051,['5802'],[],description,1,0,[],,['51323'],[0.5261651873588562],['description']
002051,['5802'],[],description,3,0,[],,"['51323', '51388', '60977']","[0.5261651873588562, 0.5186170935630798, 0.5038037896156311]","['description', 'description', 'description']"
002185每股收益,['5802'],[],description,1,0,[],,['5432'],[0.5190004110336304],['description']
002185每股收益,['5802'],[],description,3,0,[],,"['5432', '50161', '50162']","[0.5190004110336304, 0.5143694877624512, 0.4941549003124237]","['description', 'description', 'description']"
002414,['5802'],[],description,1,0,[],,['51323'],[0.5682787895202637],['description']
002414,['5802'],[],description,3,0,[],,"['51323', '50161', '50709']","[0.5682787895202637, 0.559177041053772, 0.5410043597221375]","['description', 'description', 'description']"
002523,['5802'],[],description,1,0,[],,['50709'],[0.57904052734375],['description']
002523,['5802'],[],description,3,0,[],,"['50709', '51323', '51388']","[0.57904052734375, 0.5566028356552124, 0.5468451976776123]","['description', 'description', 'description']"
002607最新消息今天,['5802'],[],description,1,0,[],,['5432'],[0.5494170188903809],['description']
002607最新消息今天,['5802'],[],description,3,0,[],,"['5432', '50161', '50926']","[0.5494170188903809, 0.5238907933235168, 0.48657816648483276]","['description', 'description', 'description']"
002611,['5802'],[],description,1,0,[],,['51323'],[0.5003068447113037],['description']
002611,['5802'],[],description,3,0,[],,"['51323', '5601', '60977']","[0.5003068447113037, 0.48683297634124756, 0.47554054856300354]","['description', 'description', 'description']"
300215,['5802'],[],description,1,0,[],,['50709'],[0.5695064663887024],['description']
300215,['5802'],[],description,3,0,[],,"['50709', '51323', '50161']","[0.5695064663887024, 0.551814079284668, 0.5344644784927368]","['description', 'description', 'description']"
300303,['5802'],[],description,1,0,[],,['50159'],[0.5625123977661133],['description']
300303,['5802'],[],description,3,0,[],,"['50159', '50161', '50709']","[0.5625123977661133, 0.5573972463607788, 0.5348656177520752]","['description', 'description', 'description']"
300505最新消息,['5802'],[],description,1,0,[],,['50709'],[0.6007820963859558],['description']
300505最新消息,['5802'],[],description,3,0,[],,"['50709', '5432', '50161']","[0.6007820963859558, 0.5616739988327026, 0.5279275178909302]","['description', 'description', 'description']"
300665,['5802'],[],description,1,0,[],,['50709'],[0.578113317489624],['description']
300665,['5802'],[],description,3,0,[],,"['50709', '5432', '50161']","[0.578113317489624, 0.5629453659057617, 0.5593670010566711]","['description', 'description', 'description']"
300779,['5802'],[],description,1,0,[],,['50161'],[0.5447843670845032],['description']
300779,['5802'],[],description,3,0,[],,"['50161', '50709', '51323']","[0.5447843670845032, 0.5415401458740234, 0.5313017964363098]","['description', 'description', 'description']"
301617,['5802'],[],description,1,0,[],,['5601'],[0.5103708505630493],['description']
301617,['5802'],[],description,3,0,[],,"['5601', '51323', '60977']","[0.5103708505630493, 0.5077143907546997, 0.4998476505279541]","['description', 'description', 'description']"
600612,['5802'],[],description,1,0,[],,['50161'],[0.6361215710639954],['description']
600612,['5802'],[],description,3,0,[],,"['50161', '5432', '50709']","[0.6361215710639954, 0.5929325222969055, 0.5749917030334473]","['description', 'description', 'description']"
600667东方财富网,['5802'],[],description,1,0,[],,['5432'],[0.6058992147445679],['description']
600667东方财富网,['5802'],[],description,3,0,[],,"['5432', '50161', '50926']","[0.6058992147445679, 0.5987169742584229, 0.5847392082214355]","['description', 'description', 'description']"
600879,['5802'],[],description,1,0,[],,['50161'],[0.6409035921096802],['description']
600879,['5802'],[],description,3,0,[],,"['50161', '5432', '50162']","[0.6409035921096802, 0.6034389734268188, 0.5825706124305725]","['description', 'description', 'description']"
603005,['5802'],[],description,1,0,[],,['50709'],[0.5704905390739441],['description']
603005,['5802'],[],description,3,0,[],,"['50709', '50161', '51388']","[0.5704905390739441, 0.5412017107009888, 0.5340290069580078]","['description', 'description', 'description']"
603068,['5802'],[],description,1,0,[],,['50161'],[0.569892168045044],['description']
603068,['5802'],[],description,3,0,[],,"['50161', '50159', '5432']","[0.569892168045044, 0.5681025981903076, 0.5549992918968201]","['description', 'description', 'description']"
603960,['5802'],[],description,1,0,[],,['50161'],[0.6177445650100708],['description']
