query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
万兴绿建科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.4323565363883972],['description']
万兴绿建科技有限公司,['5103'],[],description,3,0,[],,"['51457', '47242', '28126']","[0.4323565363883972, 0.42300909757614136, 0.41381803154945374]","['description', 'description', 'description']"
三瑞智能科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.5165339708328247],['description']
三瑞智能科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.5165339708328247, 0.5022425651550293, 0.5022425651550293]","['description', 'description', 'description']"
上海创曜辉应用材料技术有限公司,['5103'],[],description,1,0,[],,['51457'],[0.4396388530731201],['description']
上海创曜辉应用材料技术有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.4396388530731201, 0.4393964111804962, 0.4393964111804962]","['description', 'description', 'description']"
上海捷得供应链科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.49503251910209656],['description']
上海捷得供应链科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.49503251910209656, 0.4947429597377777, 0.4947429597377777]","['description', 'description', 'description']"
上海新源科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.47996413707733154],['description']
上海新源科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.47996413707733154, 0.47867193818092346, 0.47867193818092346]","['description', 'description', 'description']"
上海玄闵科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.5383681058883667],['description']
上海玄闵科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.5383681058883667, 0.5311813950538635, 0.5311813950538635]","['description', 'description', 'description']"
东创精密技术有限公司,['5103'],[],description,1,0,[],,['5881'],[0.45206424593925476],['description']
东创精密技术有限公司,['5103'],[],description,3,0,[],,"['5881', '51457', '28126']","[0.45206424593925476, 0.4389324188232422, 0.4193729758262634]","['description', 'description', 'description']"
东和集团董事长,['5103'],[],description,1,0,[],,['51457'],[0.45097365975379944],['description']
东和集团董事长,['5103'],[],description,3,0,[],,"['51457', '60265', '5550']","[0.45097365975379944, 0.4444975256919861, 0.3985692262649536]","['description', 'description', 'description']"
中信老板是谁,['5103'],[],description,1,0,[],,['51457'],[0.5410877466201782],['description']
中信老板是谁,['5103'],[],description,3,0,[],,"['51457', '60265', '5432']","[0.5410877466201782, 0.5197558403015137, 0.5108621120452881]","['description', 'description', 'description']"
中信集团是国企还是央企,['5103'],[],description,1,0,[],,['5432'],[0.4485422968864441],['description']
中信集团是国企还是央企,['5103'],[],description,3,0,[],,"['5432', '51457', '28126']","[0.4485422968864441, 0.4286388158798218, 0.4128704071044922]","['description', 'description', 'description']"
中天科技的股,['5103'],[],description,1,0,[],,['50161'],[0.5982915163040161],['description']
中天科技的股,['5103'],[],description,3,0,[],,"['50161', '5432', '50709']","[0.5982915163040161, 0.5942166447639465, 0.5940475463867188]","['description', 'description', 'description']"
中广核集团,['5103'],[],description,1,0,[],,['51457'],[0.4503174424171448],['description']
中广核集团,['5103'],[],description,3,0,[],,"['51457', '51323', '47242']","[0.4503174424171448, 0.43584588170051575, 0.4320717453956604]","['description', 'description', 'description']"
中建是央企还是国企,['5103'],[],description,1,0,[],,['51457'],[0.414868026971817],['description']
中建是央企还是国企,['5103'],[],description,3,0,[],,"['51457', '5432', '28126']","[0.414868026971817, 0.3962303400039673, 0.39296504855155945]","['description', 'description', 'description']"
中科光电科技有限公司,['5103'],[],description,1,0,[],,['39537'],[0.47947752475738525],['description']
中科光电科技有限公司,['5103'],[],description,3,0,[],,"['39537', '50731', '28128']","[0.47947752475738525, 0.46503689885139465, 0.46503689885139465]","['description', 'description', 'description']"
中科环保科技有限公司,['5103'],[],description,1,0,[],,['28128'],[0.46845337748527527],['description']
中科环保科技有限公司,['5103'],[],description,3,0,[],,"['28128', '50731', '28126']","[0.46845337748527527, 0.46845337748527527, 0.46845337748527527]","['description', 'description', 'description']"
中科软科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.5360598564147949],['description']
中科软科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.5360598564147949, 0.5115727186203003, 0.5115727186203003]","['description', 'description', 'description']"
中金建设集团有限公司,['5103'],[],description,1,0,[],,['51457'],[0.4577232003211975],['description']
中金建设集团有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.4577232003211975, 0.4352884292602539, 0.4352884292602539]","['description', 'description', 'description']"
中金投资集团有限公司,['5103'],[],description,1,0,[],,['51457'],[0.5147289037704468],['description']
中金投资集团有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.5147289037704468, 0.49887311458587646, 0.49887311458587646]","['description', 'description', 'description']"
中铁建集团有限公司,['5103'],[],description,1,0,[],,['51457'],[0.4471176266670227],['description']
中铁建集团有限公司,['5103'],[],description,3,0,[],,"['51457', '5851', '28126']","[0.4471176266670227, 0.4374847412109375, 0.43334490060806274]","['description', 'description', 'description']"
云南建设投资控股集团有限公司,['5103'],[],description,1,0,[],,['51457'],[0.4434308409690857],['description']
云南建设投资控股集团有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.4434308409690857, 0.43260204792022705, 0.43260204792022705]","['description', 'description', 'description']"
云南金石科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.46792566776275635],['description']
云南金石科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.46792566776275635, 0.46390393376350403, 0.46390393376350403]","['description', 'description', 'description']"
云智科技有限公司,['5103'],[],description,1,0,[],,['51457'],[0.570103645324707],['description']
云智科技有限公司,['5103'],[],description,3,0,[],,"['51457', '28128', '28126']","[0.570103645324707, 0.5606815218925476, 0.5606815218925476]","['description', 'description', 'description']"
交控科技是国企吗,['5103'],[],description,1,0,[],,['5432'],[0.5511676073074341],['description']
交控科技是国企吗,['5103'],[],description,3,0,[],,"['5432', '51457', '50161']","[0.5511676073074341, 0.475278377532959, 0.45979392528533936]","['description', 'description', 'description']"
供销集团董事长,['5103'],[],description,1,0,[],,['51457'],[0.43808963894844055],['description']
