query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
1952年是属什么的生肖呢,['62016'],[],description,1,0,[],,['51323'],[0.4903780221939087],['description']
1952年是属什么的生肖呢,['62016'],[],description,3,0,[],,"['51323', '61111', '5601']","[0.4903780221939087, 0.468757688999176, 0.46249163150787354]","['description', 'description', 'description']"
20003年是属什么生肖,['62016'],[],description,1,0,[],,['51323'],[0.5085927248001099],['description']
20003年是属什么生肖,['62016'],[],description,3,0,[],,"['51323', '5601', '61111']","[0.5085927248001099, 0.48846739530563354, 0.4836292266845703]","['description', 'description', 'description']"
"2026年7月8号出生女孩,姓王取什么名字",['62016'],[],description,1,0,[],,['51323'],[0.42613768577575684],['description']
"2026年7月8号出生女孩,姓王取什么名字",['62016'],[],description,3,0,[],,"['51323', '51381', '51388']","[0.42613768577575684, 0.4231049716472626, 0.41001054644584656]","['description', 'description', 'description']"
24节气,['62016'],[],description,1,0,[],,['51323'],[0.7276104688644409],['description']
24节气,['62016'],[],description,3,0,[],,"['51323', '62497', '5601']","[0.7276104688644409, 0.6532347202301025, 0.6279608011245728]","['description', 'description', 'description']"
26个英文字母的大小写,['62016'],[],description,1,0,[],,['51323'],[0.5680797100067139],['description']
26个英文字母的大小写,['62016'],[],description,3,0,[],,"['51323', '51381', '51382']","[0.5680797100067139, 0.4586182236671448, 0.4503970146179199]","['description', 'description', 'description']"
26个英语字母,['62016'],[],description,1,0,[],,['51323'],[0.5343567132949829],['description']
26个英语字母,['62016'],[],description,3,0,[],,"['51323', '85', '51381']","[0.5343567132949829, 0.4952544569969177, 0.49018049240112305]","['description', 'description', 'description']"
26英文字母大写,['62016'],[],description,1,0,[],,['51323'],[0.5787404775619507],['description']
26英文字母大写,['62016'],[],description,3,0,[],,"['51323', '51381', '85']","[0.5787404775619507, 0.42405807971954346, 0.41947025060653687]","['description', 'description', 'description']"
3u8606,['62016'],[],description,1,0,[],,['51388'],[0.576174259185791],['description']
3u8606,['62016'],[],description,3,0,[],,"['51388', '51323', '60977']","[0.576174259185791, 0.5736843347549438, 0.5662329196929932]","['description', 'description', 'description']"
7月份的应季水果是什么,['62016'],[],description,1,0,[],,['51323'],[0.4857479929924011],['description']
7月份的应季水果是什么,['62016'],[],description,3,0,[],,"['51323', '62497', '5601']","[0.4857479929924011, 0.47848081588745117, 0.47633999586105347]","['description', 'description', 'description']"
87年是生肖属什么的,['62016'],[],description,1,0,[],,['5601'],[0.49946486949920654],['description']
87年是生肖属什么的,['62016'],[],description,3,0,[],,"['5601', '51323', '51388']","[0.49946486949920654, 0.49069416522979736, 0.4892732501029968]","['description', 'description', 'description']"
aa281,['62016'],[],description,1,0,[],,['51323'],[0.49030131101608276],['description']
aa281,['62016'],[],description,3,0,[],,"['51323', '60977', '51388']","[0.49030131101608276, 0.47067326307296753, 0.46717244386672974]","['description', 'description', 'description']"
ca1286航班轨迹,['62016'],[],description,1,0,[],,['5851'],[0.4647107720375061],['description']
ca1286航班轨迹,['62016'],[],description,3,0,[],,"['5851', '60868', '47190']","[0.4647107720375061, 0.4572654366493225, 0.3920414447784424]","['description', 'description', 'description']"
ca1523,['62016'],[],description,1,0,[],,['5601'],[0.5080220103263855],['description']
ca1523,['62016'],[],description,3,0,[],,"['5601', '51323', '60293']","[0.5080220103263855, 0.502788782119751, 0.501495361328125]","['description', 'description', 'description']"
ca432航班动态查询,['62016'],[],description,1,0,[],,['60868'],[0.591251015663147],['description']
ca432航班动态查询,['62016'],[],description,3,0,[],,"['60868', '5671', '47190']","[0.591251015663147, 0.5297831892967224, 0.5175027251243591]","['description', 'description', 'description']"
ca4541,['62016'],[],description,1,0,[],,['60977'],[0.5221356153488159],['description']
ca4541,['62016'],[],description,3,0,[],,"['60977', '51044', '51323']","[0.5221356153488159, 0.5128210783004761, 0.5118788480758667]","['description', 'description', 'description']"
ca878,['62016'],[],description,1,0,[],,['60977'],[0.4910461902618408],['description']
ca878,['62016'],[],description,3,0,[],,"['60977', '51044', '51323']","[0.4910461902618408, 0.4877411127090454, 0.48112040758132935]","['description', 'description', 'description']"
