query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
amd的股价,['50161'],[],description,1,0,[],,['5428'],[0.6654608249664307],['description']
amd的股价,['50161'],[],description,3,1,['50161'],3.0,"['5428', '5432', '50161']","[0.6654608249664307, 0.6330927610397339, 0.6309372782707214]","['description', 'description', 'description']"
amd股市行情,['50161'],[],description,1,0,[],,['5428'],[0.5864413976669312],['description']
amd股市行情,['50161'],[],description,3,1,['50161'],2.0,"['5428', '50161', '50926']","[0.5864413976669312, 0.5656444430351257, 0.5610653162002563]","['description', 'description', 'description']"
amd股票实时行情,['50161'],[],description,1,0,[],,['5428'],[0.639167845249176],['description']
amd股票实时行情,['50161'],[],description,3,1,['50161'],2.0,"['5428', '50161', '5432']","[0.639167845249176, 0.6320719718933105, 0.6017431020736694]","['description', 'description', 'description']"
app 股票,['50161'],[],description,1,1,['50161'],1.0,['50161'],[0.6622210144996643],['description']
app 股票,['50161'],[],description,3,1,['50161'],1.0,"['50161', '5432', '50926']","[0.6622210144996643, 0.6537500619888306, 0.6398342847824097]","['description', 'description', 'description']"
applovin股票,['50161'],[],description,1,0,[],,['5428'],[0.5608953833580017],['description']
applovin股票,['50161'],[],description,3,0,[],,"['5428', '5432', '60977']","[0.5608953833580017, 0.5211449265480042, 0.4989478588104248]","['description', 'description', 'description']"
avgo股票,['50161'],[],description,1,1,['50161'],1.0,['50161'],[0.5614296197891235],['description']
avgo股票,['50161'],[],description,3,1,['50161'],1.0,"['50161', '5432', '5428']","[0.5614296197891235, 0.552082896232605, 0.5477068424224854]","['description', 'description', 'description']"
be 股票,['50161'],[],description,1,1,['50161'],1.0,['50161'],[0.6357178688049316],['description']
be 股票,['50161'],[],description,3,1,['50161'],1.0,"['50161', '5432', '50926']","[0.6357178688049316, 0.6218703985214233, 0.5997108221054077]","['description', 'description', 'description']"
bgm股价,['50161'],[],description,1,0,[],,['5432'],[0.6079332828521729],['description']
bgm股价,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50162']","[0.6079332828521729, 0.5767556428909302, 0.5724586248397827]","['description', 'description', 'description']"
bmy股票,['50161'],[],description,1,0,[],,['5432'],[0.5739057660102844],['description']
bmy股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5739057660102844, 0.5569157600402832, 0.5502978563308716]","['description', 'description', 'description']"
cat 股票,['50161'],[],description,1,0,[],,['5432'],[0.6821895837783813],['description']
cat 股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50709']","[0.6821895837783813, 0.6653649210929871, 0.6131635904312134]","['description', 'description', 'description']"
coach股票,['50161'],[],description,1,0,[],,['60977'],[0.4918854534626007],['description']
coach股票,['50161'],[],description,3,0,[],,"['60977', '5432', '5550']","[0.4918854534626007, 0.4654545187950134, 0.45656687021255493]","['description', 'description', 'description']"
cohr股票,['50161'],[],description,1,0,[],,['5432'],[0.6047946810722351],['description']
cohr股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50162']","[0.6047946810722351, 0.5511472821235657, 0.5393368601799011]","['description', 'description', 'description']"
coin 股票,['50161'],[],description,1,0,[],,['5432'],[0.6317631006240845],['description']
coin 股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '36607']","[0.6317631006240845, 0.5906389951705933, 0.5793535709381104]","['description', 'description', 'description']"
crcl股票,['50161'],[],description,1,0,[],,['5432'],[0.5600916743278503],['description']
crcl股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5600916743278503, 0.5037883520126343, 0.48454049229621887]","['description', 'description', 'description']"
crdo股票,['50161'],[],description,1,0,[],,['5432'],[0.5412596464157104],['description']
crdo股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50709']","[0.5412596464157104, 0.494756281375885, 0.46276429295539856]","['description', 'description', 'description']"
crnt的股价,['50161'],[],description,1,0,[],,['5432'],[0.695985734462738],['description']
crnt的股价,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50159']","[0.695985734462738, 0.6442586183547974, 0.5988894104957581]","['description', 'description', 'description']"
crwv股票,['50161'],[],description,1,0,[],,['5432'],[0.5661777257919312],['description']
crwv股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50709']","[0.5661777257919312, 0.5265827178955078, 0.5167855620384216]","['description', 'description', 'description']"
fro股价,['50161'],[],description,1,0,[],,['5432'],[0.5988216400146484],['description']
fro股价,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5988216400146484, 0.5751160979270935, 0.547194242477417]","['description', 'description', 'description']"
gev股票,['50161'],[],description,1,0,[],,['5432'],[0.5607986450195312],['description']
gev股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50162']","[0.5607986450195312, 0.5425722002983093, 0.5415682196617126]","['description', 'description', 'description']"
hpe股票,['50161'],[],description,1,0,[],,['5432'],[0.6269277334213257],['description']
hpe股票,['50161'],[],description,3,0,[],,"['5432', '50162', '5428']","[0.6269277334213257, 0.6152454018592834, 0.5983100533485413]","['description', 'description', 'description']"
ilmn美股,['50161'],[],description,1,0,[],,['50709'],[0.5373014211654663],['description']
ilmn美股,['50161'],[],description,3,0,[],,"['50709', '5428', '50926']","[0.5373014211654663, 0.5325479507446289, 0.5199567079544067]","['description', 'description', 'description']"
intel 股票,['50161'],[],description,1,1,['50161'],1.0,['50161'],[0.6444958448410034],['description']
intel 股票,['50161'],[],description,3,1,['50161'],1.0,"['50161', '50709', '5432']","[0.6444958448410034, 0.6208958625793457, 0.6182612180709839]","['description', 'description', 'description']"
kla股票,['50161'],[],description,1,0,[],,['5432'],[0.6229487061500549],['description']
kla股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.6229487061500549, 0.5655299425125122, 0.5623339414596558]","['description', 'description', 'description']"
m 股价,['50161'],[],description,1,1,['50161'],1.0,['50161'],[0.6877111196517944],['description']
m 股价,['50161'],[],description,3,1,['50161'],1.0,"['50161', '5432', '50162']","[0.6877111196517944, 0.6824677586555481, 0.625150740146637]","['description', 'description', 'description']"
navn股票,['50161'],[],description,1,0,[],,['5432'],[0.6416155099868774],['description']
navn股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50159']","[0.6416155099868774, 0.628534197807312, 0.6233956813812256]","['description', 'description', 'description']"
nbis的股票价格,['50161'],[],description,1,0,[],,['5432'],[0.6472774147987366],['description']
nbis的股票价格,['50161'],[],description,3,1,['50161'],3.0,"['5432', '50159', '50161']","[0.6472774147987366, 0.6471092700958252, 0.6097013354301453]","['description', 'description', 'description']"
oklo股票,['50161'],[],description,1,0,[],,['5432'],[0.588807225227356],['description']
oklo股票,['50161'],[],description,3,1,['50161'],3.0,"['5432', '5428', '50161']","[0.588807225227356, 0.5267038345336914, 0.5242469906806946]","['description', 'description', 'description']"
orcl股票,['50161'],[],description,1,0,[],,['5432'],[0.5988191366195679],['description']
orcl股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5988191366195679, 0.5706297159194946, 0.5574244260787964]","['description', 'description', 'description']"
pdd股票,['50161'],[],description,1,0,[],,['5432'],[0.5590344667434692],['description']
pdd股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5590344667434692, 0.5267519950866699, 0.5222049355506897]","['description', 'description', 'description']"
pltr股票,['50161'],[],description,1,0,[],,['5432'],[0.5697951316833496],['description']
pltr股票,['50161'],[],description,3,0,[],,"['5432', '50709', '5428']","[0.5697951316833496, 0.5355411171913147, 0.5320174694061279]","['description', 'description', 'description']"
pnw股票,['50161'],[],description,1,0,[],,['5432'],[0.5658144950866699],['description']
pnw股票,['50161'],[],description,3,1,['50161'],3.0,"['5432', '50159', '50161']","[0.5658144950866699, 0.561559796333313, 0.5390315055847168]","['description', 'description', 'description']"
qcom股票,['50161'],[],description,1,0,[],,['5432'],[0.6002386212348938],['description']
qcom股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.6002386212348938, 0.5682336688041687, 0.5632718801498413]","['description', 'description', 'description']"
rklb股票,['50161'],[],description,1,0,[],,['5432'],[0.5971823930740356],['description']
rklb股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5971823930740356, 0.5358272790908813, 0.5354609489440918]","['description', 'description', 'description']"
salesforce美股,['50161'],[],description,1,0,[],,['5428'],[0.5835437774658203],['description']
salesforce美股,['50161'],[],description,3,0,[],,"['5428', '50160', '5432']","[0.5835437774658203, 0.5678554177284241, 0.5505406856536865]","['description', 'description', 'description']"
sk海力士股价实时行情,['50161'],[],description,1,0,[],,['5432'],[0.6564840078353882],['description']
sk海力士股价实时行情,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '50162']","[0.6564840078353882, 0.57608962059021, 0.5740966200828552]","['description', 'description', 'description']"
snowflake股票,['50161'],[],description,1,0,[],,['5432'],[0.5783219337463379],['description']
snowflake股票,['50161'],[],description,3,1,['50161'],2.0,"['5432', '50161', '5428']","[0.5783219337463379, 0.5660078525543213, 0.5458070039749146]","['description', 'description', 'description']"
spacex股票,['50161'],[],description,1,0,[],,['5432'],[0.5693551301956177],['description']
spacex股票,['50161'],[],description,3,1,['50161'],3.0,"['5432', '50926', '50161']","[0.5693551301956177, 0.5282816886901855, 0.5250262022018433]","['description', 'description', 'description']"
spcx股票,['50161'],[],description,1,0,[],,['5432'],[0.5658429861068726],['description']
