query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
comex黄金期货,['51255'],[],description,1,0,[],,['51088'],[0.7244923114776611],['description']
comex黄金期货,['51255'],[],description,3,1,['51255'],3.0,"['51088', '51590', '51255']","[0.7244923114776611, 0.6233431100845337, 0.6231739521026611]","['description', 'description', 'description']"
今日白银大盘价,['51255'],[],description,1,0,[],,['51590'],[0.5890241861343384],['description']
今日白银大盘价,['51255'],[],description,3,0,[],,"['51590', '51088', '36607']","[0.5890241861343384, 0.5514218807220459, 0.5059741735458374]","['description', 'description', 'description']"
今日黄金的价,['51255'],[],description,1,0,[],,['51590'],[0.833855152130127],['description']
今日黄金的价,['51255'],[],description,3,1,['51255'],3.0,"['51590', '51088', '51255']","[0.833855152130127, 0.7514590620994568, 0.5969463586807251]","['description', 'description', 'description']"
国际白银实时行情,['51255'],[],description,1,0,[],,['51088'],[0.6859615445137024],['description']
国际白银实时行情,['51255'],[],description,3,1,['51255'],3.0,"['51088', '51590', '51255']","[0.6859615445137024, 0.6697555780410767, 0.6242545247077942]","['description', 'description', 'description']"
国际白银行情实时最新,['51255'],[],description,1,0,[],,['46671'],[0.6285961270332336],['description']
国际白银行情实时最新,['51255'],[],description,3,0,[],,"['46671', '5293', '51088']","[0.6285961270332336, 0.619896411895752, 0.6144829988479614]","['description', 'description', 'description']"
国际白银走势图,['51255'],[],description,1,0,[],,['51088'],[0.6015821099281311],['description']
国际白银走势图,['51255'],[],description,3,1,['51255'],3.0,"['51088', '51590', '51255']","[0.6015821099281311, 0.5917590856552124, 0.5479668378829956]","['description', 'description', 'description']"
国际黄金最新实时行情,['51255'],[],description,1,0,[],,['51590'],[0.782049298286438],['description']
国际黄金最新实时行情,['51255'],[],description,3,1,['51255'],3.0,"['51590', '51088', '51255']","[0.782049298286438, 0.7701557874679565, 0.6112834215164185]","['description', 'description', 'description']"
白银实时行情最新,['51255'],[],description,1,0,[],,['51590'],[0.7459263801574707],['description']
