query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
12月25日是什么日子,['60265'],[],description,1,0,[],,['5601'],[0.5969259142875671],['description']
12月25日是什么日子,['60265'],[],description,3,0,[],,"['5601', '61111', '62497']","[0.5969259142875671, 0.5524629354476929, 0.5220539569854736]","['description', 'description', 'description']"
2001年的立春是哪一天,['60265'],[],description,1,0,[],,['5601'],[0.5690429210662842],['description']
2001年的立春是哪一天,['60265'],[],description,3,0,[],,"['5601', '51323', '61111']","[0.5690429210662842, 0.5655437111854553, 0.5350766181945801]","['description', 'description', 'description']"
2003年立秋是几月几号,['60265'],[],description,1,0,[],,['62497'],[0.5137194991111755],['description']
2003年立秋是几月几号,['60265'],[],description,3,0,[],,"['62497', '51323', '5601']","[0.5137194991111755, 0.5109091401100159, 0.500728189945221]","['description', 'description', 'description']"
2018年端午节是几月几号啊?,['60265'],[],description,1,0,[],,['5601'],[0.5465871095657349],['description']
2018年端午节是几月几号啊?,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5465871095657349, 0.5226496458053589, 0.5031060576438904]","['description', 'description', 'description']"
2023年端午节是几月几号,['60265'],[],description,1,0,[],,['5601'],[0.6318424344062805],['description']
2023年端午节是几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.6318424344062805, 0.5990265607833862, 0.5793451070785522]","['description', 'description', 'description']"
2024年9月1日到今天多少天了,['60265'],[],description,1,0,[],,['5601'],[0.5986975431442261],['description']
2024年9月1日到今天多少天了,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5986975431442261, 0.5830447673797607, 0.5657644271850586]","['description', 'description', 'description']"
2024年春节是几月几号,['60265'],[],description,1,0,[],,['5601'],[0.6391168236732483],['description']
2024年春节是几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '51323']","[0.6391168236732483, 0.602251410484314, 0.6019846200942993]","['description', 'description', 'description']"
2024年清明节是几月几日,['60265'],[],description,1,0,[],,['5601'],[0.5853990316390991],['description']
2024年清明节是几月几日,['60265'],[],description,3,0,[],,"['5601', '61111', '62497']","[0.5853990316390991, 0.569379448890686, 0.5678865909576416]","['description', 'description', 'description']"
2025年过年的时候是几月几日,['60265'],[],description,1,0,[],,['5601'],[0.5922218561172485],['description']
2025年过年的时候是几月几日,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5922218561172485, 0.5621854066848755, 0.5513330101966858]","['description', 'description', 'description']"
2026中秋节是几月几日,['60265'],[],description,1,0,[],,['5601'],[0.579472005367279],['description']
2026中秋节是几月几日,['60265'],[],description,3,0,[],,"['5601', '62497', '51323']","[0.579472005367279, 0.5723475217819214, 0.5370903611183167]","['description', 'description', 'description']"
2026什么时候立夏,['60265'],[],description,1,0,[],,['51323'],[0.5757461786270142],['description']
2026什么时候立夏,['60265'],[],description,3,0,[],,"['51323', '5601', '62497']","[0.5757461786270142, 0.5483970642089844, 0.5435402393341064]","['description', 'description', 'description']"
2026年11月1日是什么日子,['60265'],[],description,1,0,[],,['5601'],[0.5865206122398376],['description']
2026年11月1日是什么日子,['60265'],[],description,3,0,[],,"['5601', '61111', '62497']","[0.5865206122398376, 0.5701980590820312, 0.5317373275756836]","['description', 'description', 'description']"
2026年3月5日是什么日子,['60265'],[],description,1,0,[],,['5601'],[0.5896115303039551],['description']
2026年3月5日是什么日子,['60265'],[],description,3,0,[],,"['5601', '61111', '62497']","[0.5896115303039551, 0.5735655426979065, 0.5339721441268921]","['description', 'description', 'description']"
2026年大暑是几月几日,['60265'],[],description,1,0,[],,['51323'],[0.554627537727356],['description']
2026年大暑是几月几日,['60265'],[],description,3,0,[],,"['51323', '62497', '5601']","[0.554627537727356, 0.528978705406189, 0.5194900035858154]","['description', 'description', 'description']"
2026年春节,['60265'],[],description,1,0,[],,['5601'],[0.5645520687103271],['description']
2026年春节,['60265'],[],description,3,0,[],,"['5601', '51323', '62497']","[0.5645520687103271, 0.5502145886421204, 0.5064702033996582]","['description', 'description', 'description']"
2026年母亲节几月几号,['60265'],[],description,1,0,[],,['5601'],[0.5327300429344177],['description']
2026年母亲节几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5327300429344177, 0.5199584364891052, 0.506229043006897]","['description', 'description', 'description']"
2026年火把节是几月几日,['60265'],[],description,1,0,[],,['5601'],[0.5246773958206177],['description']
2026年火把节是几月几日,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5246773958206177, 0.5075386762619019, 0.49163174629211426]","['description', 'description', 'description']"
2026年的冬至是哪一天,['60265'],[],description,1,0,[],,['5601'],[0.573035478591919],['description']
2026年的冬至是哪一天,['60265'],[],description,3,0,[],,"['5601', '51323', '62497']","[0.573035478591919, 0.549716055393219, 0.5369075536727905]","['description', 'description', 'description']"
2026年端午节,['60265'],[],description,1,0,[],,['5601'],[0.569837212562561],['description']
2026年端午节,['60265'],[],description,3,0,[],,"['5601', '51323', '62497']","[0.569837212562561, 0.5412942171096802, 0.5403115749359131]","['description', 'description', 'description']"
2026的七夕节是几月几号,['60265'],[],description,1,0,[],,['5601'],[0.5537645816802979],['description']
2026的七夕节是几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5537645816802979, 0.5418645739555359, 0.5171911716461182]","['description', 'description', 'description']"
2027年新年是几月几日,['60265'],[],description,1,0,[],,['5601'],[0.5989950895309448],['description']
2027年新年是几月几日,['60265'],[],description,3,0,[],,"['5601', '62497', '61111']","[0.5989950895309448, 0.5549711585044861, 0.5496677160263062]","['description', 'description', 'description']"
2027年春节是几号?,['60265'],[],description,1,0,[],,['5601'],[0.5447041988372803],['description']
2027年春节是几号?,['60265'],[],description,3,0,[],,"['5601', '62497', '51323']","[0.5447041988372803, 0.5080076456069946, 0.5041635036468506]","['description', 'description', 'description']"
2027年的春节是几月几号,['60265'],[],description,1,0,[],,['5601'],[0.5987376570701599],['description']
2027年的春节是几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '51323']","[0.5987376570701599, 0.5739778876304626, 0.5509089231491089]","['description', 'description', 'description']"
2027年的清明节是几月几号,['60265'],[],description,1,0,[],,['5601'],[0.5475059747695923],['description']
2027年的清明节是几月几号,['60265'],[],description,3,0,[],,"['5601', '62497', '51323']","[0.5475059747695923, 0.543418288230896, 0.5239967703819275]","['description', 'description', 'description']"
2028年立春是哪一天,['60265'],[],description,1,0,[],,['5601'],[0.5508900880813599],['description']
2028年立春是哪一天,['60265'],[],description,3,0,[],,"['5601', '51323', '62497']","[0.5508900880813599, 0.5312613248825073, 0.5246440172195435]","['description', 'description', 'description']"
5月8号是什么日子,['60265'],[],description,1,0,[],,['5601'],[0.5658944845199585],['description']
