query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
16promax多少钱,['60540'],[],description,1,0,[],,['60338'],[0.5408781170845032],['description']
16promax多少钱,['60540'],[],description,3,1,['60540'],2.0,"['60338', '60540', '51590']","[0.5408781170845032, 0.5199757218360901, 0.4757663905620575]","['description', 'description', 'description']"
1機索商品词 多少钱/比价苹果17多少钱,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.5675743818283081],['description']
1機索商品词 多少钱/比价苹果17多少钱,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '60977']","[0.5675743818283081, 0.5629226565361023, 0.49841243028640747]","['description', 'description', 'description']"
??平果17promax多少钱一台,['60540'],[],description,1,0,[],,['60338'],[0.5438427925109863],['description']
??平果17promax多少钱一台,['60540'],[],description,3,1,['60540'],2.0,"['60338', '60540', '60977']","[0.5438427925109863, 0.5151945352554321, 0.4616350531578064]","['description', 'description', 'description']"
huawei pura 70 u比价,['60540'],[],description,1,0,[],,['60977'],[0.5049129128456116],['description']
huawei pura 70 u比价,['60540'],[],description,3,1,['60540'],3.0,"['60977', '60338', '60540']","[0.5049129128456116, 0.48584431409835815, 0.4853353500366211]","['description', 'description', 'description']"
huawei pura 70pro比价,['60540'],[],description,1,0,[],,['60977'],[0.5377714037895203],['description']
huawei pura 70pro比价,['60540'],[],description,3,1,['60540'],2.0,"['60977', '60540', '60338']","[0.5377714037895203, 0.5147660970687866, 0.5070431232452393]","['description', 'description', 'description']"
iphnoe 17多少钱,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.5166889429092407],['description']
iphnoe 17多少钱,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '60977']","[0.5166889429092407, 0.4915159344673157, 0.4134380519390106]","['description', 'description', 'description']"
iphone 15价格多少钱,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.5565204620361328],['description']
iphone 15价格多少钱,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '60977']","[0.5565204620361328, 0.5433077812194824, 0.4731765389442444]","['description', 'description', 'description']"
iphone 17价格格,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.5188354849815369],['description']
iphone 17价格格,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '60977']","[0.5188354849815369, 0.4997527003288269, 0.44345033168792725]","['description', 'description', 'description']"
iphone14多少钱,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.5527908205986023],['description']
iphone14多少钱,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '51590']","[0.5527908205986023, 0.5380552411079407, 0.45319533348083496]","['description', 'description', 'description']"
iphone17pro比价,['60540'],[],description,1,0,[],,['60977'],[0.5432903170585632],['description']
iphone17pro比价,['60540'],[],description,3,1,['60540'],2.0,"['60977', '60540', '60338']","[0.5432903170585632, 0.5350097417831421, 0.5185586214065552]","['description', 'description', 'description']"
iphone17多少钱,['60540'],[],description,1,1,['60540'],1.0,['60540'],[0.52894127368927],['description']
iphone17多少钱,['60540'],[],description,3,1,['60540'],1.0,"['60540', '60338', '60977']","[0.52894127368927, 0.505999743938446, 0.4274943470954895]","['description', 'description', 'description']"
iqooz11多少钱,['60540'],[],description,1,0,[],,['60338'],[0.5482997894287109],['description']
iqooz11多少钱,['60540'],[],description,3,1,['60540'],2.0,"['60338', '60540', '60977']","[0.5482997894287109, 0.5061607360839844, 0.4618872106075287]","['description', 'description', 'description']"
mate 60 pro价格,['60540'],[],description,1,0,[],,['60338'],[0.5346871614456177],['description']
