query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
u盘哪个牌子最好,['5882'],[],description,1,0,[],,['5881'],[0.5083072185516357],['description']
u盘哪个牌子最好,['5882'],[],description,3,1,['5882'],3.0,"['5881', '60977', '5882']","[0.5083072185516357, 0.5078495740890503, 0.4714001715183258]","['description', 'description', 'description']"
三轮车品牌排行榜前十名,['5882'],[],description,1,0,[],,['5271'],[0.4625474810600281],['description']
三轮车品牌排行榜前十名,['5882'],[],description,3,0,[],,"['5271', '50574', '50760']","[0.4625474810600281, 0.44901329278945923, 0.4431407153606415]","['description', 'description', 'description']"
乳业排名前十名的品牌有哪些,['5882'],[],description,1,0,[],,['5881'],[0.569847822189331],['description']
乳业排名前十名的品牌有哪些,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.569847822189331, 0.5655406713485718, 0.507872462272644]","['description', 'description', 'description']"
什么品牌的奶粉最好,['5882'],[],description,1,0,[],,['5881'],[0.533189058303833],['description']
什么品牌的奶粉最好,['5882'],[],description,3,1,['5882'],3.0,"['5881', '60977', '5882']","[0.533189058303833, 0.5226055979728699, 0.5172420740127563]","['description', 'description', 'description']"
什么牌子的水好,['5882'],[],description,1,0,[],,['5881'],[0.5824359655380249],['description']
什么牌子的水好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5824359655380249, 0.5372586250305176, 0.5353271961212158]","['description', 'description', 'description']"
什么牌子的洗面奶最好用,['5882'],[],description,1,1,['5882'],1.0,['5882'],[0.5177714824676514],['description']
什么牌子的洗面奶最好用,['5882'],[],description,3,1,['5882'],1.0,"['5882', '5881', '60977']","[0.5177714824676514, 0.5097832679748535, 0.4995034337043762]","['description', 'description', 'description']"
什么牌子的电池最好最耐用,['5882'],[],description,1,0,[],,['5881'],[0.5230251550674438],['description']
什么牌子的电池最好最耐用,['5882'],[],description,3,1,['5882'],3.0,"['5881', '60977', '5882']","[0.5230251550674438, 0.4847399890422821, 0.47846248745918274]","['description', 'description', 'description']"
什么牌子的电脑好,['5882'],[],description,1,0,[],,['60977'],[0.5713781118392944],['description']
什么牌子的电脑好,['5882'],[],description,3,0,[],,"['60977', '5881', '60540']","[0.5713781118392944, 0.5569647550582886, 0.5278528928756714]","['description', 'description', 'description']"
什么牌子的电视好,['5882'],[],description,1,0,[],,['5881'],[0.5721297264099121],['description']
什么牌子的电视好,['5882'],[],description,3,0,[],,"['5881', '60977', '60540']","[0.5721297264099121, 0.5459635257720947, 0.5165454149246216]","['description', 'description', 'description']"
什么牌子的眼镜好,['5882'],[],description,1,0,[],,['5881'],[0.5232850313186646],['description']
什么牌子的眼镜好,['5882'],[],description,3,1,['5882'],3.0,"['5881', '60977', '5882']","[0.5232850313186646, 0.5101513862609863, 0.5042275190353394]","['description', 'description', 'description']"
什么牌子的锅好用又健康,['5882'],[],description,1,0,[],,['5881'],[0.5166817903518677],['description']
什么牌子的锅好用又健康,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5166817903518677, 0.4681852459907532, 0.45236364006996155]","['description', 'description', 'description']"
什么牌子的音响音质最好,['5882'],[],description,1,0,[],,['5881'],[0.5451860427856445],['description']
什么牌子的音响音质最好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5451860427856445, 0.4608912169933319, 0.4555826187133789]","['description', 'description', 'description']"
保温杯哪个牌子的好,['5882'],[],description,1,0,[],,['5881'],[0.5182095766067505],['description']
保温杯哪个牌子的好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5182095766067505, 0.46428126096725464, 0.452919065952301]","['description', 'description', 'description']"
充电线哪个品牌好,['5882'],[],description,1,0,[],,['5881'],[0.46687453985214233],['description']
充电线哪个品牌好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60540']","[0.46687453985214233, 0.4523889422416687, 0.4455055892467499]","['description', 'description', 'description']"
养生壶十大品牌排名,['5882'],[],description,1,0,[],,['5881'],[0.5009327530860901],['description']
养生壶十大品牌排名,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '5544']","[0.5009327530860901, 0.43149256706237793, 0.4163941740989685]","['description', 'description', 'description']"
内衣内裤最建议买三个牌子,['5882'],[],description,1,1,['5882'],1.0,['5882'],[0.5112168788909912],['description']
内衣内裤最建议买三个牌子,['5882'],[],description,3,1,['5882'],1.0,"['5882', '5881', '60977']","[0.5112168788909912, 0.5050368309020996, 0.4991258978843689]","['description', 'description', 'description']"
冰糖哪个牌子的质量好,['5882'],[],description,1,0,[],,['5881'],[0.48835667967796326],['description']
冰糖哪个牌子的质量好,['5882'],[],description,3,1,['5882'],3.0,"['5881', '5544', '5882']","[0.48835667967796326, 0.47828617691993713, 0.47704583406448364]","['description', 'description', 'description']"
凉席哪个品牌好,['5882'],[],description,1,0,[],,['5881'],[0.48570239543914795],['description']
凉席哪个品牌好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.48570239543914795, 0.4386405646800995, 0.42801979184150696]","['description', 'description', 'description']"
刹车片哪个品牌质量好,['5882'],[],description,1,0,[],,['5881'],[0.49889957904815674],['description']
刹车片哪个品牌质量好,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.49889957904815674, 0.4743882119655609, 0.45361459255218506]","['description', 'description', 'description']"
剃须刀最好用的品牌,['5882'],[],description,1,0,[],,['5881'],[0.5019321441650391],['description']
剃须刀最好用的品牌,['5882'],[],description,3,1,['5882'],3.0,"['5881', '60977', '5882']","[0.5019321441650391, 0.4738234877586365, 0.47108587622642517]","['description', 'description', 'description']"
十大公认最好的键盘品牌,['5882'],[],description,1,0,[],,['5881'],[0.537569522857666],['description']
十大公认最好的键盘品牌,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.537569522857666, 0.45280182361602783, 0.4207335412502289]","['description', 'description', 'description']"
十大卫浴品牌,['5882'],[],description,1,0,[],,['5881'],[0.5642106533050537],['description']
十大卫浴品牌,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5642106533050537, 0.4677521586418152, 0.42526572942733765]","['description', 'description', 'description']"
十大名牌焊机有哪些,['5882'],[],description,1,0,[],,['5881'],[0.5395528078079224],['description']
十大名牌焊机有哪些,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60540']","[0.5395528078079224, 0.4484907388687134, 0.41645973920822144]","['description', 'description', 'description']"
十大名牌电视机排名,['5882'],[],description,1,0,[],,['5881'],[0.510323166847229],['description']
十大名牌电视机排名,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.510323166847229, 0.44626855850219727, 0.43464112281799316]","['description', 'description', 'description']"
十大品牌床垫有哪些,['5882'],[],description,1,0,[],,['5881'],[0.5401620864868164],['description']
十大品牌床垫有哪些,['5882'],[],description,3,1,['5882'],2.0,"['5881', '5882', '60977']","[0.5401620864868164, 0.47323375940322876, 0.45032209157943726]","['description', 'description', 'description']"
