query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
a,['46671'],[],description,1,0,[],,['51388'],[0.5581470727920532],['description']
a,['46671'],[],description,3,0,[],,"['51388', '51044', '85']","[0.5581470727920532, 0.554531455039978, 0.5412137508392334]","['description', 'description', 'description']"
btc,['46671'],[],description,1,0,[],,['36607'],[0.7026587724685669],['description']
btc,['46671'],[],description,3,0,[],,"['36607', '50709', '60977']","[0.7026587724685669, 0.46418237686157227, 0.4620131254196167]","['description', 'description', 'description']"
btc价格今日行情,['46671'],[],description,1,0,[],,['36607'],[0.7928707599639893],['description']
btc价格今日行情,['46671'],[],description,3,0,[],,"['36607', '51590', '5432']","[0.7928707599639893, 0.5789579749107361, 0.5645923018455505]","['description', 'description', 'description']"
cfx,['46671'],[],description,1,0,[],,['5293'],[0.515752375125885],['description']
cfx,['46671'],[],description,3,0,[],,"['5293', '60977', '36607']","[0.515752375125885, 0.4944942593574524, 0.49151289463043213]","['description', 'description', 'description']"
fil今日价格,['46671'],[],description,1,0,[],,['51255'],[0.6664621233940125],['description']
fil今日价格,['46671'],[],description,3,0,[],,"['51255', '51088', '51590']","[0.6664621233940125, 0.6559048891067505, 0.6108903884887695]","['description', 'description', 'description']"
h:,['46671'],[],description,1,0,[],,['5601'],[0.5299820899963379],['description']
h:,['46671'],[],description,3,0,[],,"['5601', '51388', '51323']","[0.5299820899963379, 0.5295964479446411, 0.5230069160461426]","['description', 'description', 'description']"
kite,['46671'],[],description,1,0,[],,['51388'],[0.5232110023498535],['description']
kite,['46671'],[],description,3,0,[],,"['51388', '51323', '5671']","[0.5232110023498535, 0.5062568187713623, 0.504810094833374]","['description', 'description', 'description']"
ltc,['46671'],[],description,1,0,[],,['36607'],[0.5417588949203491],['description']
ltc,['46671'],[],description,3,0,[],,"['36607', '51323', '51044']","[0.5417588949203491, 0.47134149074554443, 0.4580184817314148]","['description', 'description', 'description']"
