query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
399005指数,['50709'],[],description,1,0,[],,['5351'],[0.7265769839286804],['description']
399005指数,['50709'],[],description,3,1,['50709'],2.0,"['5351', '50709', '50926']","[0.7265769839286804, 0.679836630821228, 0.6471871137619019]","['description', 'description', 'description']"
上证指数,['50709'],[],description,1,0,[],,['5351'],[0.71999192237854],['description']
上证指数,['50709'],[],description,3,0,[],,"['5351', '50161', '50926']","[0.71999192237854, 0.6862012147903442, 0.6787436604499817]","['description', 'description', 'description']"
上证指数最新行情,['50709'],[],description,1,0,[],,['50161'],[0.745069146156311],['description']
上证指数最新行情,['50709'],[],description,3,0,[],,"['50161', '5351', '50926']","[0.745069146156311, 0.7248694896697998, 0.724378228187561]","['description', 'description', 'description']"
中证1000指数最新行情,['50709'],[],description,1,0,[],,['5351'],[0.6333144307136536],['description']
中证1000指数最新行情,['50709'],[],description,3,1,['50709'],3.0,"['5351', '50926', '50709']","[0.6333144307136536, 0.6241428852081299, 0.6145656108856201]","['description', 'description', 'description']"
中证白酒指数今日行情,['50709'],[],description,1,0,[],,['5351'],[0.5698181390762329],['description']
中证白酒指数今日行情,['50709'],[],description,3,1,['50709'],2.0,"['5351', '50709', '50926']","[0.5698181390762329, 0.540929913520813, 0.5260111093521118]","['description', 'description', 'description']"
今天上证指数,['50709'],[],description,1,0,[],,['50161'],[0.7019497156143188],['description']
今天上证指数,['50709'],[],description,3,0,[],,"['50161', '5351', '50926']","[0.7019497156143188, 0.7010095119476318, 0.7004913091659546]","['description', 'description', 'description']"
今天上证指数是多少,['50709'],[],description,1,0,[],,['50161'],[0.6887805461883545],['description']
今天上证指数是多少,['50709'],[],description,3,0,[],,"['50161', '5351', '50926']","[0.6887805461883545, 0.6697912216186523, 0.6470162272453308]","['description', 'description', 'description']"
今天韩国股市实时行情,['50709'],[],description,1,0,[],,['50926'],[0.6461140513420105],['description']
今天韩国股市实时行情,['50709'],[],description,3,0,[],,"['50926', '50161', '5432']","[0.6461140513420105, 0.6423431634902954, 0.6408674120903015]","['description', 'description', 'description']"
富时a50指数实时行情,['50709'],[],description,1,0,[],,['5351'],[0.7164305448532104],['description']
富时a50指数实时行情,['50709'],[],description,3,1,['50709'],3.0,"['5351', '50161', '50709']","[0.7164305448532104, 0.7005761861801147, 0.6798577904701233]","['description', 'description', 'description']"
恒生科技指数实时行情,['50709'],[],description,1,0,[],,['50926'],[0.7197247743606567],['description']
恒生科技指数实时行情,['50709'],[],description,3,1,['50709'],3.0,"['50926', '50162', '50709']","[0.7197247743606567, 0.7051692008972168, 0.6929829120635986]","['description', 'description', 'description']"
日经指数实时行情,['50709'],[],description,1,0,[],,['50354'],[0.6816674470901489],['description']
日经指数实时行情,['50709'],[],description,3,0,[],,"['50354', '5351', '50926']","[0.6816674470901489, 0.6645705699920654, 0.6642372608184814]","['description', 'description', 'description']"
有色金属今日行情,['50709'],[],description,1,0,[],,['51590'],[0.670262336730957],['description']
有色金属今日行情,['50709'],[],description,3,0,[],,"['51590', '51088', '51255']","[0.670262336730957, 0.6636365652084351, 0.5825748443603516]","['description', 'description', 'description']"
消费电子指数,['50709'],[],description,1,1,['50709'],1.0,['50709'],[0.5423036813735962],['description']
消费电子指数,['50709'],[],description,3,1,['50709'],1.0,"['50709', '5351', '50926']","[0.5423036813735962, 0.5131450891494751, 0.4932297468185425]","['description', 'description', 'description']"
科创100指数,['50709'],[],description,1,0,[],,['5351'],[0.6267887353897095],['description']
科创100指数,['50709'],[],description,3,1,['50709'],2.0,"['5351', '50709', '50926']","[0.6267887353897095, 0.6229321956634521, 0.6204027533531189]","['description', 'description', 'description']"
科创50指数最新行情,['50709'],[],description,1,1,['50709'],1.0,['50709'],[0.7443743348121643],['description']
科创50指数最新行情,['50709'],[],description,3,1,['50709'],1.0,"['50709', '5351', '50926']","[0.7443743348121643, 0.6792856454849243, 0.6791911125183105]","['description', 'description', 'description']"
纳斯达克指数,['50709'],[],description,1,0,[],,['50354'],[0.6580690145492554],['description']
纳斯达克指数,['50709'],[],description,3,0,[],,"['50354', '50926', '5351']","[0.6580690145492554, 0.6573712825775146, 0.6541585922241211]","['description', 'description', 'description']"
纳斯达克指数最新实时行情,['50709'],[],description,1,0,[],,['50926'],[0.7397124767303467],['description']
纳斯达克指数最新实时行情,['50709'],[],description,3,0,[],,"['50926', '5351', '50159']","[0.7397124767303467, 0.6961848735809326, 0.6888778209686279]","['description', 'description', 'description']"
纳斯达克走势,['50709'],[],description,1,0,[],,['50926'],[0.6987084150314331],['description']
纳斯达克走势,['50709'],[],description,3,1,['50709'],2.0,"['50926', '50709', '5351']","[0.6987084150314331, 0.6622518301010132, 0.6376157999038696]","['description', 'description', 'description']"
越南vn30指数实时行情,['50709'],[],description,1,0,[],,['50926'],[0.5680733919143677],['description']
越南vn30指数实时行情,['50709'],[],description,3,0,[],,"['50926', '50159', '5351']","[0.5680733919143677, 0.5638136863708496, 0.56215500831604]","['description', 'description', 'description']"
道琼斯指数最新实时行情,['50709'],[],description,1,0,[],,['50354'],[0.7818999886512756],['description']
道琼斯指数最新实时行情,['50709'],[],description,3,0,[],,"['50354', '50926', '5351']","[0.7818999886512756, 0.7308274507522583, 0.7066267728805542]","['description', 'description', 'description']"
韩国kospi指数,['50709'],[],description,1,0,[],,['50926'],[0.6060017347335815],['description']
韩国kospi指数,['50709'],[],description,3,0,[],,"['50926', '5351', '50162']","[0.6060017347335815, 0.5913647413253784, 0.5533566474914551]","['description', 'description', 'description']"
韩国指数实时行情,['50709'],[],description,1,0,[],,['50926'],[0.6493978500366211],['description']
韩国指数实时行情,['50709'],[],description,3,0,[],,"['50926', '5351', '50162']","[0.6493978500366211, 0.6311973929405212, 0.612417459487915]","['description', 'description', 'description']"
韩国股市今日实时行情最新消息,['50709'],[],description,1,0,[],,['50926'],[0.6299461126327515],['description']
韩国股市今日实时行情最新消息,['50709'],[],description,3,0,[],,"['50926', '5432', '50161']","[0.6299461126327515, 0.6231718063354492, 0.5851567983627319]","['description', 'description', 'description']"
韩国股市今日行情走势,['50709'],[],description,1,0,[],,['50926'],[0.5952489376068115],['description']
韩国股市今日行情走势,['50709'],[],description,3,0,[],,"['50926', '5432', '50161']","[0.5952489376068115, 0.5776917934417725, 0.5609858632087708]","['description', 'description', 'description']"
韩国股市行情,['50709'],[],description,1,0,[],,['50926'],[0.6284584999084473],['description']
韩国股市行情,['50709'],[],description,3,0,[],,"['50926', '50162', '5432']","[0.6284584999084473, 0.5812708139419556, 0.5748480558395386]","['description', 'description', 'description']"
399005指数,['50709'],[],merged,1,0,[],,['5351'],[0.7518960237503052],['title_description']
399005指数,['50709'],[],merged,3,0,[],,"['5351', '50926', '50354']","[0.7518960237503052, 0.7036475539207458, 0.6942062377929688]","['title_description', 'title_description', 'title_description']"
上证指数,['50709'],[],merged,1,0,[],,['50926'],[0.7369862794876099],['title_description']
上证指数,['50709'],[],merged,3,0,[],,"['50926', '5351', '50354']","[0.7369862794876099, 0.7361142635345459, 0.686659574508667]","['title_description', 'title_description', 'title_description']"
上证指数最新行情,['50709'],[],merged,1,0,[],,['50926'],[0.777190625667572],['title_description']
上证指数最新行情,['50709'],[],merged,3,0,[],,"['50926', '50161', '5351']","[0.777190625667572, 0.745069146156311, 0.7444473505020142]","['title_description', 'description', 'title_description']"
中证1000指数最新行情,['50709'],[],merged,1,0,[],,['50926'],[0.6618796586990356],['title_description']
中证1000指数最新行情,['50709'],[],merged,3,0,[],,"['50926', '5351', '50354']","[0.6618796586990356, 0.6478079557418823, 0.6372767686843872]","['title_description', 'title_description', 'title_description']"
中证白酒指数今日行情,['50709'],[],merged,1,0,[],,['5351'],[0.584187388420105],['title_description']
