query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
ability的形容词,['62172'],[],description,1,0,[],,['50143'],[0.5442882180213928],['description']
ability的形容词,['62172'],[],description,3,0,[],,"['50143', '51386', '85']","[0.5442882180213928, 0.53193199634552, 0.5227255821228027]","['description', 'description', 'description']"
add的ing形式,['62172'],[],description,1,0,[],,['50143'],[0.598353922367096],['description']
add的ing形式,['62172'],[],description,3,0,[],,"['50143', '85', '51388']","[0.598353922367096, 0.552882194519043, 0.5072122812271118]","['description', 'description', 'description']"
admit的名词,['62172'],[],description,1,0,[],,['85'],[0.5140912532806396],['description']
admit的名词,['62172'],[],description,3,0,[],,"['85', '51388', '50143']","[0.5140912532806396, 0.5022326707839966, 0.5017709732055664]","['description', 'description', 'description']"
agree的名词,['62172'],[],description,1,0,[],,['51388'],[0.5422592163085938],['description']
agree的名词,['62172'],[],description,3,0,[],,"['51388', '51386', '85']","[0.5422592163085938, 0.5360105037689209, 0.5356612801551819]","['description', 'description', 'description']"
also造句,['62172'],[],description,1,0,[],,['50143'],[0.5457983613014221],['description']
also造句,['62172'],[],description,3,1,['62172'],3.0,"['50143', '85', '62172']","[0.5457983613014221, 0.5206066370010376, 0.4981103539466858]","['description', 'description', 'description']"
animal的复数,['62172'],[],description,1,0,[],,['50143'],[0.5412036180496216],['description']
animal的复数,['62172'],[],description,3,0,[],,"['50143', '85', '51386']","[0.5412036180496216, 0.5258942246437073, 0.5186538100242615]","['description', 'description', 'description']"
arrive的名词,['62172'],[],description,1,0,[],,['85'],[0.5027949810028076],['description']
arrive的名词,['62172'],[],description,3,0,[],,"['85', '51388', '51386']","[0.5027949810028076, 0.5011032819747925, 0.49614155292510986]","['description', 'description', 'description']"
assume名词形式,['62172'],[],description,1,0,[],,['50143'],[0.5819395780563354],['description']
assume名词形式,['62172'],[],description,3,0,[],,"['50143', '85', '51388']","[0.5819395780563354, 0.5718268752098083, 0.5489511489868164]","['description', 'description', 'description']"
be valuable for简单造句,['62172'],[],description,1,0,[],,['50143'],[0.4939536452293396],['description']
be valuable for简单造句,['62172'],[],description,3,1,['62172'],3.0,"['50143', '85', '62172']","[0.4939536452293396, 0.4697393774986267, 0.4421771764755249]","['description', 'description', 'description']"
begin的过去式怎么读,['62172'],[],description,1,0,[],,['50143'],[0.572692334651947],['description']
begin的过去式怎么读,['62172'],[],description,3,1,['62172'],3.0,"['50143', '85', '62172']","[0.572692334651947, 0.5106223821640015, 0.48166167736053467]","['description', 'description', 'description']"
believe的名词,['62172'],[],description,1,0,[],,['85'],[0.520561695098877],['description']
believe的名词,['62172'],[],description,3,0,[],,"['85', '50143', '51388']","[0.520561695098877, 0.5202888250350952, 0.4930337071418762]","['description', 'description', 'description']"
be的过去式和过去分词,['62172'],[],description,1,0,[],,['50143'],[0.5798772573471069],['description']
be的过去式和过去分词,['62172'],[],description,3,0,[],,"['50143', '85', '51388']","[0.5798772573471069, 0.49439096450805664, 0.46328654885292053]","['description', 'description', 'description']"
bring的过去式,['62172'],[],description,1,0,[],,['50143'],[0.5732876658439636],['description']
